No.;Date;Sample;Class A;Class B;Class C;Class D;Total
137;04-Jul-22;5240;500;750;0;0;1250
138;05-Jul-22;5228;700;550;0;0;1250
139;06-Jul-22;4888;300;300;0;0;600
140;07-Jul-22;6916;250;650;0;0;900
141;08-Jul-22;4080;350;250;0;0;600
142;11-Jul-22;5164;100;1250;150;0;1500
143;12-Jul-22;5512;50;650;0;0;700
144;13-Jul-22;6168;400;400;50;0;850
145;14-Jul-22;6100;450;800;0;0;1250
146;15-Jul-22;2440;200;750;0;0;950
147;16-Jul-22;5838;50;450;0;0;500
148;17-Jul-22;5272;50;450;0;0;500
149;18-Jul-22;6165;250;1000;0;0;1250
150;19-Jul-22;5146;500;1250;0;0;1750
151;20-Jul-22;5724;100;450;0;0;550
152;21-Jul-22;6492;250;950;250;0;1450
153;22-Jul-22;6652;50;1250;0;0;1300
154;23-Jul-22;6752;100;600;250;0;950
155;24-Jul-22;3200;300;350;0;0;650
156;25-Jul-22;2040;0;500;0;0;500
157;26-Jul-22;2367;350;2800;0;0;3150
158;27-Jul-22;2360;200;3150;0;0;3350
159;28-Jul-22;3736;50;900;0;0;950
160;29-Jul-22;8044;0;950;0;0;950
161;30-Jul-22;4684;0;550;0;0;550
162;31-Jul-22;1560;0;350;0;0;350
163;01-Aug-22;3748;100;650;0;0;750
164;02-Aug-22;8000;0;950;0;0;950
165;03-Aug-22;6576;0;300;0;0;300
166;04-Aug-22;5392;0;800;0;0;800
167;05-Aug-22;4648;50;400;0;0;450
168;07-Aug-22;1500;100;1400;0;0;1500
169;08-Aug-22;6032;50;1450;0;0;1500
170;09-Aug-22;5424;700;1150;0;0;1850
171;10-Aug-22;1080;50;500;0;0;550
172;11-Aug-22;6372;0;2100;0;0;2100
173;12-Aug-22;6360;0;600;0;0;600
174;13-Aug-22;5220;0;700;0;0;700
175;14-Aug-22;6336;0;600;0;0;600
176;15-Aug-22;6028;50;1350;0;0;1400
177;18-Aug-22;5296;250;1450;0;0;1700
178;19-Aug-22;6288;50;1400;0;0;1450
179;20-Aug-22;5024;0;700;0;0;700
